name,default_expressions,referenced_by,reference_count
AI_CALLBACK_URL,"""http://127.0.0.1:9004/internal/v1/ai/reports""",server/competitor-intel/app/config.py | server/orchestrator/app/config.py,2
AI_CALLING_HMAC_KEYS,"_required(""AI_HMAC_KEYS""",server/orchestrator/app/config.py,1
AI_CALLING_PROVIDER,"""deterministic""",server/orchestrator/app/config.py,1
AI_CALLING_WEBHOOK_URL,"f""{public_url}/webhooks/ai-calling/{ai_calling_provider}"",",server/orchestrator/app/config.py,1
AI_DB_PASSWORD,,server/aio/bootstrap-databases.sh | server/aio/start-suite.sh | server/database/init/10-ai-role.sh,3
AI_DB_USER,,server/database/init/10-ai-role.sh,1
AI_HMAC_KEYS,"""""",server/office-console/app/config.py,1
AI_PROVIDER,"""openai""",server/competitor-intel/app/config.py,1
AI_SERVICE_URL,"""http://competitor-intel-api:8090""",server/orchestrator/app/config.py,1
AI_USER_AGENT,"""FloodmanCompetitorMonitor/1.0""",server/competitor-intel/app/config.py,1
API,,server/roomflow/capture/roomflow-capture.js | server/roomflow/floodman-panel.js | server/tests/unified_login_smoke.py,3
API_PUBLIC_URL,,server/aio/start-suite.sh | server/aio/suite-monitor.sh,2
APP_LOGO,,server/aio/start-suite.sh,1
AR_REMINDER_OFFSETS_HOURS,"""1,2,3,4,5,6""",server/office-console/app/config.py,1
AR_REPEAT_INTERVAL_HOURS,"""24""",server/office-console/app/config.py,1
AR_TIMEZONE,"""America/Detroit""",server/office-console/app/config.py | server/orchestrator/app/config.py,2
BOOTSTRAP_SUFFIX,,server/aio/start-suite.sh,1
COMPETITOR_INTEL_URL,"""http://competitor-intel-api:8090""",server/local-lab/app/main.py,1
COMPETITOR_URL,"""http://competitor-intel-api:8090""",server/office-console/app/config.py,1
DOCUMENSO_DB_PASSWORD,,server/aio/bootstrap-databases.sh | server/aio/start-suite.sh,2
DOCUMENSO_DEFAULT_MESSAGE,"""Please review and complete the attached Floodman document.""",server/orchestrator/app/config.py,1
DOCUMENSO_DEFAULT_SUBJECT,"""Floodman document ready for signature""",server/orchestrator/app/config.py,1
DOCUMENSO_ENCRYPTION_KEY,,server/aio/start-suite.sh,1
DOCUMENSO_ENCRYPTION_SECONDARY_KEY,,server/aio/start-suite.sh,1
DOCUMENSO_FULL_API_URL,"""http://127.0.0.1:9001/api/v2""",server/office-console/app/config.py,1
DOCUMENSO_HEALTH_URL,"""http://127.0.0.1:9001""",server/office-console/app/config.py,1
DOCUMENSO_NEXTAUTH_SECRET,,server/aio/start-suite.sh,1
DOCUMENSO_PORT,,server/aio/start-documenso.sh | server/aio/start-suite.sh | server/aio/suite-monitor.sh,3
DOCUMENSO_PUBLIC_URL,,server/aio/start-suite.sh | server/aio/suite-monitor.sh,2
DOCUMENSO_REDIRECT_URL,,server/orchestrator/app/config.py,1
DOCUMENSO_SIGNING_PASSPHRASE,,server/aio/start-documenso.sh | server/aio/start-suite.sh,2
DOCUMENSO_WEBHOOK_SECRET,"""local-documenso-webhook-secret""",server/local-lab/app/main.py,1
DOCUMENSO_WEB_URL,"""http://localhost:9001""",server/office-console/app/config.py,1
DOCUMENTS_PATH,"""/data/documents""",server/office-console/app/config.py | server/orchestrator/app/config.py,2
ENGINEERING_PORT,,server/aio/start-local-lab.sh | server/aio/start-suite.sh | server/aio/suite-monitor.sh,3
ENGINEERING_PUBLIC_URL,,server/aio/start-suite.sh | server/aio/suite-monitor.sh,2
FLOODMAN_API_PORT,,server/aio/start-orchestrator-api.sh | server/aio/start-suite.sh | server/aio/suite-monitor.sh,3
FLOODMAN_API_PUBLIC_URL,,server/aio/start-suite.sh,1
FLOODMAN_COMPANY_NAME,"""""",server/aio/finalize-gauzy.sh | server/aio/start-hub.sh | server/aio/start-suite.sh | server/office-console/app/store.py,4
FLOODMAN_CUSTOMER_PUBLIC_URL,"f""{os.getenv('OFFICE_CONSOLE_PUBLIC_URL', 'http://localhost:9000'",server/office-console/app/config.py,1
FLOODMAN_DB_PASSWORD,,server/aio/bootstrap-databases.sh | server/aio/start-suite.sh,2
FLOODMAN_DOCUMENSO_URL,,server/aio/start-suite.sh,1
FLOODMAN_ENFORCE_9000_PORT_SCHEME,,server/aio/start-suite.sh,1
FLOODMAN_ENGINEERING_URL,,server/aio/start-suite.sh,1
FLOODMAN_ENV,"""development""",server/competitor-intel/app/main.py | server/local-lab/app/main.py | server/messaging-ai/app/config.py | server/office-console/app/config.py | server/orchestrator/app/config.py,5
FLOODMAN_MAILPIT_URL,,server/aio/start-suite.sh,1
FLOODMAN_MOBILE_ACCESS_TTL_SECONDS,"""900""",server/office-console/app/config.py,1
FLOODMAN_MOBILE_API_PUBLIC_URL,"""""",server/office-console/app/config.py,1
FLOODMAN_MOBILE_REFRESH_TTL_DAYS,"""30""",server/office-console/app/config.py,1
FLOODMAN_MOBILE_TOKEN_SECRET,"""""",server/office-console/app/config.py,1
FLOODMAN_OWNER_EMAIL,"""""",server/aio/finalize-gauzy.sh | server/aio/link-office-owner.sh | server/aio/start-suite.sh | server/aio/suite-monitor.sh | server/office-console/app/store.py,5
FLOODMAN_OWNER_FIRST_NAME,,server/aio/finalize-gauzy.sh | server/aio/start-suite.sh,2
FLOODMAN_OWNER_LAST_NAME,,server/aio/finalize-gauzy.sh | server/aio/start-suite.sh,2
FLOODMAN_OWNER_PASSWORD,,server/aio/link-office-owner.sh | server/aio/start-suite.sh,2
FLOODMAN_PUBLIC_HOST,,server/aio/start-suite.sh,1
FLOODMAN_PUBLIC_SCHEME,,server/aio/start-suite.sh,1
FLOODMAN_PUBLIC_URL,,server/aio/start-suite.sh,1
FLOODMAN_RELEASE,"""windows-business-suite-v3.0.0""",server/local-lab/app/main.py | server/office-console/app/config.py,2
FLOODMAN_UI_EVIDENCE_DIR,"""""",server/tests/web_ui_smoke.py,1
FLOODMAN_VOICE_URL,,server/aio/start-suite.sh,1
FM_CONFIG,,server/aio/common.sh | server/aio/finalize-gauzy.sh | server/aio/start-hub.sh | server/aio/start-suite.sh,4
FM_DATA,,server/aio/common.sh | server/aio/start-documenso.sh | server/aio/start-local-lab.sh | server/aio/start-mailpit.sh | server/aio/start-postgres.sh | server/aio/start-suite.sh,6
FM_HOME,,server/aio/common.sh | server/aio/start-hub.sh | server/aio/start-suite.sh,3
FM_LOGS,,server/aio/common.sh | server/aio/link-office-owner.sh | server/aio/start-hub.sh | server/aio/start-suite.sh,4
FM_RUN,,server/aio/bootstrap-databases.sh | server/aio/common.sh | server/aio/finalize-gauzy.sh | server/aio/link-office-owner.sh | server/aio/start-ar-scheduler.sh | server/aio/start-competitor-api.sh | server/aio/start-competitor-scheduler.sh | server/aio/start-documenso.sh | server/aio/start-gauzy-api.sh | server/aio/start-hub.sh | server/aio/start-office-console.sh | server/aio/start-orchestrator-api.sh | server/aio/start-orchestrator-worker.sh | server/aio/start-postgres.sh | server/aio/start-suite.sh | server/aio/suite-monitor.sh,16
GAUZY_ADMIN_EMAIL,"os.getenv(""GAUZY_OWNER_EMAIL"", """"",server/office-console/app/config.py,1
GAUZY_ADMIN_PASSWORD,"os.getenv(""GAUZY_OWNER_PASSWORD"", """"",server/office-console/app/config.py,1
GAUZY_BOOTSTRAP_ADMIN_EMAIL,,server/aio/finalize-gauzy.sh | server/aio/start-suite.sh,2
GAUZY_BOOTSTRAP_ADMIN_PASSWORD,,server/aio/start-suite.sh,1
GAUZY_BOOTSTRAP_EMPLOYEE_EMAIL,,server/aio/finalize-gauzy.sh | server/aio/start-suite.sh,2
GAUZY_BOOTSTRAP_EMPLOYEE_PASSWORD,,server/aio/start-suite.sh,1
GAUZY_CONTACT_PATH,"""/organization-contact""",server/orchestrator/app/config.py,1
GAUZY_DB_PASSWORD,,server/aio/bootstrap-databases.sh | server/aio/finalize-gauzy.sh | server/aio/start-suite.sh,3
GAUZY_EMPLOYEE_EMAIL,"""""",server/office-console/app/config.py,1
GAUZY_EMPLOYEE_PASSWORD,"""""",server/office-console/app/config.py,1
GAUZY_FROM_ORGANIZATION_ID,"""AUTO""",server/orchestrator/app/config.py,1
GAUZY_FULL_API_URL,"""http://gauzy-api:3000/api""",server/office-console/app/config.py,1
GAUZY_FULL_FROM_ORGANIZATION_ID,"""AUTO""",server/office-console/app/config.py,1
GAUZY_FULL_ORGANIZATION_ID,"""AUTO""",server/office-console/app/config.py,1
GAUZY_FULL_TENANT_ID,"""AUTO""",server/office-console/app/config.py,1
GAUZY_HEALTH_URL,"""http://127.0.0.1:9000/health/live""",server/office-console/app/config.py,1
GAUZY_HUB_URL,"""http://localhost:9000""",server/office-console/app/config.py,1
GAUZY_INVOICE_PATH,"""/invoices""",server/orchestrator/app/config.py,1
GAUZY_JWT_SECRET,,server/aio/start-suite.sh,1
GAUZY_LOGIN_PATH,"""/auth/login""",server/orchestrator/app/config.py,1
GAUZY_NODE_HEAP_MB,,server/aio/start-suite.sh,1
GAUZY_ORGANIZATION_ID,"""AUTO""",server/orchestrator/app/config.py,1
GAUZY_PAYMENT_PATH,"""/payments""",server/orchestrator/app/config.py,1
GAUZY_PROJECT_PATH,"""/organization-projects""",server/orchestrator/app/config.py,1
GAUZY_PUBLIC_URL,public_url,server/orchestrator/app/config.py,1
GAUZY_REFRESH_SECRET,,server/aio/start-suite.sh,1
GAUZY_SESSION_SECRET,,server/aio/start-suite.sh,1
GAUZY_TENANT_ID,"""AUTO""",server/orchestrator/app/config.py,1
GAUZY_VERIFICATION_SECRET,,server/aio/start-suite.sh,1
GAUZY_WEB_URL,"""http://localhost:9000""",server/office-console/app/config.py,1
HUB_API_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_COMPETITOR_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_DOCUMENSO_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_ENGINEERING_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_MAILPIT_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_OFFICE_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_RELEASE,,server/aio/nginx.conf.template | server/aio/start-hub.sh | server/hub/hub-config.js.template | server/tests/dual_workspace_smoke.py | server/tests/full_erp_routing_smoke.py,5
HUB_REMOTE_ACCESS_ENABLED,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_REMOTE_API_PORT,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_REMOTE_API_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_REMOTE_DOCUMENSO_PORT,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_REMOTE_DOCUMENSO_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_REMOTE_ENGINEERING_PORT,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_REMOTE_ENGINEERING_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_REMOTE_MAILPIT_PORT,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_REMOTE_MAILPIT_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_ROOMFLOW_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
HUB_SYNC_STATUS_URL,,server/aio/start-hub.sh | server/hub/hub-config.js.template,2
